Designator,Footprint,Quantity,Value,LCSC Part #
A2,Arduino_Nano,1,Arduino_Nano_v3.x,
BT1,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Battery_Cell,C131337
"C1, C2",0603,2,100nF,C14663
"C13, C14, C18",0603,3,1uF,C15849 
"C15, C19, C9",0805,3,10uF,C15850
"C16, C20, C5, C6, C7, C8",0402,6,100nF,C1525
C17,1206,1,100uF,C15008 
"C3, C4",0402,2,12pF,C1547
D18,2659,1,SK6812,C2886570
"D25, D27",0805,2,YELLOW,
"D26, D29",0805,2,GREEN,
"D28, D30",D_SMA,2,C8678,C8678
J1,PinSocket_2x03_P2.00mm_Vertical_SMD,1,ICSP,
J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,C2988369
"J3, J5",PinHeader_1x03_P2.54mm_Vertical,2,Conn_01x03,
Q1,SOT23-3,1,AO3401A,C15127
"R1, R11, R15, R16, R17, R6",0402,6,10k,C25744
R10,0603,1,1k,C21190
R12,0603,1,10k,C25804
R13,0603,1,330R,C23138 
"R18, R7, R8",0402,3,4k7,C25900
R19,0402,1,1k5,C25867
"R2, R3",0402,2,5k1,C25905
R9,0805,1,330R,C17630
SW1,SW_TS-1187A-B-A-B,1,TS-1187A-B-A-B,C318884
SW2,SW_JS102011JCQN,1,JS102011JCQN,C221659 
SW4,24549853,1,SW_DIP_x02,
U1,TQFP-32_7x7mm_P0.8mm,1,ATmega328P-A,C14877
U10,Sensirion_DFN-8-1EP_2.5x2.5mm_P0.5mm_EP1.1x1.7mm,1,SHT31-DIS,C80862
U2,SOP-8_3.9x4.9mm_P1.27mm,1,CH340N,C2977777
U3,XDCR_LIS3DHTR,1,LIS3DH,C15134 
U5,TSOT-23-6,1,TP4057,C725791
U6,SOT-23-3,1,XC6206P332MR,C5446
U7,ESP-12F,1,ESP-12F,C82891
U8,LFCSP-WD-10-1EP_3x3mm_P0.5mm_EP1.64x2.38mm,1,ADG884xCP,C140435
Y1,OSC_X322516MLB4SI,1,16 MHz C13738,C13738
