Designator,Mid X,Mid Y,Rotation,Layer
A1,143.79,-90.235,0.0,top
BT1,122.0568,-98.3324,0.0,top
C1,138.810589,-86.844411,45.0,top
C11,177.83,-124.04,270.0,top
C12,178.17,-119.88,270.0,top
C13,144.167,-117.452,0.0,top
C14,139.17,-120.875,0.0,top
C15,156.159375,-92.5436,270.0,top
C16,177.740775,-93.651,270.0,top
C17,164.79,-116.03,270.0,top
C18,122.4284,-90.7378,270.0,top
C19,122.53,-94.4716,0.0,top
C2,140.209411,-85.475589,45.0,top
C3,144.1,-79.365,270.0,top
C4,140.87,-80.655,0.0,top
C5,128.528,-70.813,0.0,top
C6,128.518,-68.563,0.0,top
C7,123.2565,-78.8648,0.0,top
C8,175.965,-103.641,0.0,top
C9,175.965,-105.611,0.0,top
D18,158.77,-113.005,0.0,top
D25,130.15,-86.5975,90.0,top
D26,127.8894,-86.6483,270.0,top
D28,145.707,-120.582,0.0,top
D30,117.97,-82.725,90.0,top
J1,143.79,-103.425,270.0,top
J2,115.5892,-73.3784,270.0,top
J5,129.15,-95.245,90.0,top
Q1,135.597,-117.282,180.0,top
R1,147.08,-76.4625,90.0,top
R10,125.959,-86.9044,270.0,top
R11,178.428475,-84.4918,180.0,top
R12,132.82,-119.2575,270.0,top
R14,178.428475,-86.727,180.0,top
R15,177.698475,-89.8004,270.0,top
R16,156.156175,-76.003,270.0,top
R17,156.359375,-81.9447,90.0,top
R18,120.625,-87.9712,90.0,top
R19,125.578,-89.161,270.0,top
R2,123.1349,-70.7622,0.0,top
R20,132.7596,-85.2383,270.0,top
R3,123.2365,-81.608,0.0,top
R6,169.3956,-111.561,270.0,top
R7,170.6656,-110.1386,270.0,top
R8,172.01,-107.875,0.0,top
R9,155.2875,-117.315,0.0,top
S1,124.727618,-104.885,0.0,bottom
S2,124.777618,-109.955,0.0,bottom
S3,124.727618,-115.085,0.0,bottom
S4,124.807618,-120.085,0.0,bottom
S5,143.96,-71.7,0.0,top
U1,143.704695,-90.409897,225.0,top
U2,125.1908,-74.719,270.0,top
U3,173.405,-111.445,270.0,top
U4,173.106799,-104.69,90.0,top
U5,123.165,-86.7809,90.0,top
U6,139.797,-117.4545,180.0,top
U7,166.671775,-80.3972,0.0,top
U8,131.5124,-75.3306,90.0,top
U9,171.925,-123.1,270.0,top
Y1,140.28,-77.225,270.0,top
